City ID,City,Country,Orig Lat,Orig Lon,Act Lat,Act Lon,Temperature (F),Humidity,Cloudiness,Wind Speed
1259385,port blair,in,11.43494620105919,94.44884867755832,11.67,92.75,82.0,68,6,1.32
2411397,georgetown,sh,-17.25773656789083,-18.77357243358503,-7.93,-14.42,80.73,77,2,16.89
3833367,ushuaia,ar,-83.54842848906455,-73.69734365826504,-54.8,-68.3,55.4,62,40,11.41
3418910,upernavik,gl,87.89401280131443,-44.975990473837015,72.79,-56.15,14.23,94,84,8.86
3883457,lebu,cl,-29.53433377524688,-93.37640259271741,-37.62,-73.65,60.55,58,0,12.73
3374346,ponta do sol,cv,22.892545670506124,-35.07046451564841,17.2,-25.09,77.0,69,40,31.09
1651810,airai,pw,10.631094121196938,141.32268211496978,-8.93,125.41,61.57,71,100,1.7
2075265,busselton,au,-39.41959397370595,98.18089313232883,-33.65,115.33,70.0,37,75,1.01
5880054,barrow,us,83.21556565120787,-165.48151540615447,71.29,-156.79,-7.6,83,1,11.41
4020109,atuona,pf,-12.46867271165199,-135.4665928512515,-9.8,-139.03,82.49,77,3,17.65
352733,marsa matruh,eg,31.276029837691738,26.673012104853115,31.35,27.25,60.3,73,0,5.97
2071860,esperance,au,-43.14209051208992,125.13271254812611,-33.87,121.9,60.8,82,25,14.99
4437982,natchez,us,31.210485259223475,-91.12950679927003,31.56,-91.4,77.9,78,75,9.17
964432,port alfred,za,-87.8896293995695,55.44529696637849,-33.59,26.89,59.49,73,47,11.43
3369157,cape town,za,-64.29710464660954,-17.477610918376683,-33.93,18.42,56.64,78,0,1.01
1015776,bredasdorp,za,-86.09745572404897,18.681924949131258,-34.53,20.04,48.2,81,3,1.12
1258731,ramanuj ganj,in,23.801709617614975,83.42040127014985,23.8,83.7,75.67,24,0,2.15
3860443,comodoro rivadavia,ar,-47.371068356663415,-66.87235954683571,-45.87,-67.5,68.0,40,0,12.75
6185377,yellowknife,ca,74.35675272797991,-106.23982754141174,62.46,-114.35,26.47,63,75,5.82
5848280,kapaa,us,35.63106830435824,-178.51711090162095,22.08,-159.32,76.57,69,1,3.36
897456,sinazongwe,zm,-17.770842454064933,28.142676523166273,-17.26,27.46,76.66,53,0,3.31
4030556,rikitea,pf,-88.55700844233976,-135.56909248463776,-23.12,-134.97,77.07,82,53,12.97
2155415,new norfolk,au,-54.95986771383188,133.62414419340405,-42.78,147.06,46.0,81,90,9.17
4032243,vaini,to,-49.35630585057626,-179.77165893795024,-21.2,-175.2,75.2,100,75,2.24
6050066,la ronge,ca,55.503094778170976,-103.63835431727746,55.1,-105.28,26.6,92,90,5.82
3874787,punta arenas,cl,-83.22883077433625,-100.34373882246118,-53.15,-70.92,56.05,76,90,11.41
2178753,kirakira,sb,-11.785204846732626,162.27996943901053,-10.45,161.92,82.04,76,2,2.84
2110227,butaritari,ki,9.454288225397747,173.44342040682824,3.07,172.79,83.32,77,76,13.2
6170031,tuktoyaktuk,ca,86.21251863837944,-136.68238889106135,69.45,-133.04,8.6,78,75,14.99
2017155,saskylakh,ru,80.94560567309662,120.1117801831482,71.92,114.08,12.58,95,90,13.78
5935804,dawson creek,ca,54.86648457723251,-121.1537635266331,55.77,-120.24,35.06,40,20,19.46
2155562,nelson bay,au,-34.46850973453886,155.21647221690085,-32.72,152.15,60.04,93,90,5.82
2636790,stornoway,gb,59.070578233318855,-8.686913497681019,58.21,-6.39,46.24,87,99,23.04
2077963,albany,au,-87.91324331997527,99.28206357038903,-35.02,117.89,64.4,68,99,11.41
3652764,puerto ayora,ec,-15.953043743676758,-98.35404331828737,-0.74,-90.35,82.81,74,20,5.82
4470244,havelock,us,33.630558588699344,-74.09259743621317,34.88,-76.9,77.85,39,40,3.36
3831208,qaanaaq,gl,83.96756155574087,-69.00065796964412,77.48,-69.36,13.5,71,13,4.97
3663475,maraa,br,-1.9131905450532827,-64.84155824138524,-1.83,-65.37,75.76,94,100,5.97
2160063,codrington,ag,20.439557557783573,-60.03256790674827,-28.95,153.24,61.97,88,75,5.44
6165406,thompson,ca,80.14412685163245,-94.38442985598091,55.74,-97.86,28.4,86,90,13.87
110690,faya,td,16.39300684836016,16.851413847277172,18.39,42.45,68.9,60,62,5.82
